"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4198","Should display inventory list","Inventory Tests","Fri Nov 01 07:41:33 WAT 2024","passed","Fri Nov 01 07:41:37 WAT 2024","","","",""
"","1661","Should remove an item from cart","Cart Tests","Fri Nov 01 07:41:22 WAT 2024","passed","Fri Nov 01 07:41:24 WAT 2024","","","",""
"","2156","Should log in successfully","Login Tests","Fri Nov 01 02:33:04 WAT 2024","passed","Fri Nov 01 02:33:06 WAT 2024","","","",""
"","3987","Should display items in cart","Cart Tests","Fri Nov 01 02:32:47 WAT 2024","passed","Fri Nov 01 02:32:51 WAT 2024","","","",""
"","3628","Should complete the checkout process","Checkout Tests","Fri Nov 01 02:32:55 WAT 2024","passed","Fri Nov 01 02:32:59 WAT 2024","","","",""
"","2088","Should log out successfully","Logout Tests","Fri Nov 01 07:41:46 WAT 2024","passed","Fri Nov 01 07:41:48 WAT 2024","","","",""
"","1921","Should log in successfully","Login Tests","Fri Nov 01 07:41:42 WAT 2024","passed","Fri Nov 01 07:41:44 WAT 2024","","","",""
"","3850","Should complete the checkout process","Checkout Tests","Fri Nov 01 07:41:26 WAT 2024","passed","Fri Nov 01 07:41:30 WAT 2024","","","",""
"","1529","Should remove an item from cart","Cart Tests","Fri Nov 01 02:32:52 WAT 2024","passed","Fri Nov 01 02:32:53 WAT 2024","","","",""
"","2078","Should display inventory list","Inventory Tests","Fri Nov 01 02:33:00 WAT 2024","passed","Fri Nov 01 02:33:03 WAT 2024","","","",""
"","3756","Should display items in cart","Cart Tests","Fri Nov 01 07:41:18 WAT 2024","passed","Fri Nov 01 07:41:22 WAT 2024","","","",""
"","1948","Should log out successfully","Logout Tests","Fri Nov 01 02:33:08 WAT 2024","passed","Fri Nov 01 02:33:10 WAT 2024","","","",""
